id,year
300048,2015
300048,2016
300048,2017
300048,2018
300048,2019
300048,2020
300048,2021
300049,2011
300049,2012
300049,2013
300049,2014
300049,2015
300049,2016
300049,2017
300049,2018
300049,2019
300049,2020
300049,2021
300050,2011
300050,2012
300050,2013
300050,2014
300050,2015
300050,2016
300050,2017
300050,2018
300050,2019
300050,2020
300050,2021
300051,2011
300051,2012
300051,2013
300051,2014
300051,2015
300051,2016
300051,2017
300051,2018
300051,2019
300051,2020
300051,2021
300052,2011
300052,2012
300052,2013
300052,2014
300052,2015
300052,2016
300052,2017
300052,2018
300052,2019
300052,2020
300052,2021
300053,2011
300053,2012
300053,2013
300053,2014
300053,2015
300053,2016
300053,2017
300053,2018
300053,2019
300053,2020
300053,2021
300054,2011
300054,2012
300054,2013
300054,2014
300054,2015
300054,2016
300054,2017
300054,2018
300054,2019
300054,2020
300054,2021
300055,2011
300055,2012
300055,2013
300055,2014
300055,2015
300055,2016
300055,2017
300055,2018
300055,2019
300055,2020
300055,2021
300056,2011
300056,2012
300056,2013
300056,2014
300056,2015
300056,2016
300056,2017
300056,2018
300056,2019
300056,2020
300056,2021
300057,2011
300057,2012
300057,2013
300057,2014
300057,2015
300057,2016
300057,2017
300057,2018
300057,2019
300057,2020
300057,2021
300058,2011
300058,2012
300058,2013
300058,2014
300058,2015
300058,2016
300058,2017
300058,2018
300058,2019
300058,2020
300058,2021
300061,2011
300061,2012
300061,2013
300061,2014
300061,2015
300061,2016
300061,2017
300061,2018
300061,2019
300061,2020
300061,2021
300062,2011
300062,2012
300062,2013
300062,2014
300062,2015
300062,2016
300062,2017
300062,2018
300062,2019
300062,2020
300062,2021
300063,2011
300063,2012
300063,2013
300063,2014
300063,2015
300063,2016
300063,2017
300063,2018
300063,2019
300063,2020
300063,2021
300065,2011
300065,2012
300065,2013
300065,2014
300065,2015
300065,2016
300065,2017
300065,2018
300065,2019
300065,2020
300065,2021
300066,2011
300066,2012
300066,2013
300066,2014
300066,2015
300066,2016
300066,2017
300066,2018
300066,2019
300066,2020
300066,2021
300067,2011
300067,2012
300067,2013
300067,2014
300067,2015
300067,2016
300067,2017
300067,2018
300067,2019
300067,2020
300067,2021
300068,2011
300068,2012
300068,2013
300068,2014
300068,2015
300068,2016
300068,2017
300068,2018
300068,2019
300068,2020
300068,2021
300069,2011
300069,2012
300069,2013
300069,2014
300069,2015
300069,2016
300069,2017
300069,2018
300069,2019
300069,2020
300069,2021
300070,2011
300070,2012
300070,2013
300070,2014
300070,2015
300070,2016
300070,2017
300070,2018
300070,2019
300070,2020
300070,2021
300071,2011
300071,2012
300071,2013
300071,2014
300071,2015
300071,2016
300071,2017
300071,2018
300071,2019
300071,2020
300071,2021
300072,2011
300072,2012
300072,2013
300072,2014
300072,2015
300072,2016
300072,2017
300072,2018
300072,2019
300072,2020
300072,2021
300073,2011
300073,2012
300073,2013
300073,2014
300073,2015
300073,2016
300073,2017
300073,2018
300073,2019
300073,2020
300073,2021
300074,2011
300074,2012
300074,2013
300074,2014
300074,2015
300074,2016
300074,2017
300074,2018
300074,2019
300074,2020
300074,2021
300075,2011
300075,2012
300075,2013
300075,2014
300075,2015
300075,2016
300075,2017
300075,2018
300075,2019
300075,2020
300075,2021
300076,2011
300076,2012
300076,2013
300076,2014
300076,2015
300076,2016
300076,2017
300076,2018
300076,2019
300076,2020
300076,2021
300077,2011
300077,2012
300077,2013
300077,2014
300077,2015
300077,2016
300077,2017
300077,2018
300077,2019
300077,2020
300077,2021
300078,2011
300078,2012
300078,2013
300078,2014
300078,2015
300078,2016
300078,2017
300078,2018
300078,2019
300078,2020
300078,2021
300079,2011
300079,2012
300079,2013
300079,2014
300079,2015
300079,2016
300079,2017
300079,2018
300079,2019
300079,2020
300079,2021
300080,2011
300080,2012
300080,2013
300080,2014
300080,2015
300080,2016
300080,2017
300080,2018
300080,2019
300080,2020
300080,2021
300081,2011
300081,2012
300081,2013
300081,2014
300081,2015
300081,2016
300081,2017
300081,2018
300081,2019
300081,2020
300081,2021
300082,2011
300082,2012
300082,2013
300082,2014
300082,2015
300082,2016
300082,2017
300082,2018
300082,2019
300082,2020
300082,2021
300083,2011
300083,2012
300083,2013
300083,2014
300083,2015
300083,2016
300083,2017
300083,2018
300083,2019
300083,2020
300083,2021
300084,2011
300084,2012
300084,2013
300084,2014
300084,2015
300084,2016
300084,2017
300084,2018
300084,2019
300084,2020
300084,2021
300085,2011
300085,2012
300085,2013
300085,2014
300085,2015
300085,2016
300085,2017
300085,2018
300085,2019
300085,2020
300085,2021
300086,2011
300086,2012
300086,2013
300086,2014
300086,2015
300086,2016
300086,2017
300086,2018
300086,2019
300086,2020
300086,2021
300087,2011
300087,2012
300087,2013
300087,2014
300087,2015
300087,2016
300087,2017
300087,2018
300087,2019
300087,2020
300087,2021
300088,2011
300088,2012
300088,2013
300088,2014
300088,2015
300088,2016
300088,2017
300088,2018
300088,2019
300088,2020
300088,2021
300091,2011
300091,2012
300091,2013
300091,2014
300091,2015
300091,2016
300091,2017
300091,2018
300091,2019
300091,2020
300091,2021
300092,2011
300092,2012
300092,2013
300092,2014
300092,2015
300092,2016
300092,2017
300092,2018
300092,2019
300092,2020
300092,2021
300093,2011
300093,2012
300093,2013
300093,2014
300093,2015
300093,2016
300093,2017
300093,2018
300093,2019
300093,2020
300093,2021
300094,2011
300094,2012
